item_id,item_name,regression_slope,regression_intercept,price_elasticity,optimal_price,monthly_profit_lift,price_volatility_pct,sales_trend_label,pricing_strategy,pricing_recommendation
307,Lemon Tart,-0.3077,27.65,0.17,12.98,445.82,0.0,Decreasing,Increase Price,Recommending price increase to capture additional margin.
308,Panna Cotta,-2.01,40.74,0.79,12.21,82.78,4.73,Stable,Increase Price,Recommending price increase to capture additional margin.
309,Banana Split,-2.0712,29.77,1.15,10.5,84.39,3.02,Stable,Increase Price,Recommending price increase to capture additional margin.
310,Molten Chocolate Mousse,-0.3077,23.51,0.26,15.66,459.14,0.0,Increasing,Increase Price,Recommending price increase to capture additional margin.
401,Fresh Lemonade,-0.2024,2.5,1.5,7.41,17.32,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
402,Iced Coffee,-0.1534,2.5,1.5,9.78,31.67,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
403,Mango Smoothie,-2.3974,26.73,1.5,8.4,67.66,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
404,Hot Chocolate,-1.8462,65.97,0.21,7.7,458.49,0.0,Decreasing,Increase Price,Recommending price increase to capture additional margin.
405,Herbal Tea,-0.1863,2.5,1.5,8.05,26.92,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
406,Sparkling Water,-0.1286,2.5,1.5,11.66,71.0,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
407,Orange Juice,-0.1834,2.5,1.5,8.18,23.3,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
408,Cold Brew,-0.1654,2.5,1.5,9.07,21.53,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
409,Milkshake,-16.1819,154.8,2.11,5.47,68.24,5.65,Increasing,Decrease Price,Recommending price discount to drive volume and capture aggregate profit.
410,House Iced Tea,-0.1627,2.5,1.5,9.22,31.84,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
501,French Fries,-0.1497,2.5,1.5,10.02,28.96,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
502,Garlic Bread,-7.2259,84.66,1.5,8.4,266.84,0.0,Increasing,Increase Price,Recommending price increase to capture additional margin.
503,Coleslaw,-0.1231,2.5,1.5,12.19,57.97,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
504,Mashed Potatoes,-30.7563,314.57,1.76,6.9,20.06,5.18,Increasing,Increase Price,Recommending price increase to capture additional margin.
505,Steamed Vegetables,-2.02,24.04,1.5,7.14,110.67,0.0,Increasing,Increase Price,Recommending price increase to capture additional margin.
506,Side Salad,-0.1179,2.5,1.5,12.72,51.77,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
507,Sweet Potato Fries,-16.2587,181.83,1.5,8.4,467.21,0.0,Increasing,Increase Price,Recommending price increase to capture additional margin.
508,Corn on the Cob,-0.1146,2.5,1.5,13.09,66.21,0.0,Stable,Increase Price,Recommending price increase to capture additional margin.
509,Mac and Cheese,-0.9231,31.24,0.36,9.8,263.79,0.0,Increasing,Increase Price,Recommending price increase to capture additional margin.
510,Rice Pilaf,-2.4615,96.03,0.16,7.0,629.18,0.0,Decreasing,Increase Price,Recommending price increase to capture additional margin.
